128,Mataveri  Isla de Pascua Ap.;1;5;21.1;26.0,
129,Mataveri  Isla de Pascua Ap.;1;6;20.3;25.8,
130,Mataveri  Isla de Pascua Ap.;1;7;17.2;25.9,
131,Mataveri  Isla de Pascua Ap.;1;8;20.5;26.2,
132,Mataveri  Isla de Pascua Ap.;1;9;19.1;26.4,
133,Mataveri  Isla de Pascua Ap.;1;10;20.4;26.3,
134,Mataveri  Isla de Pascua Ap.;1;11;20.5;26.3,
135,Mataveri  Isla de Pascua Ap.;1;12;19.7;26.7,
136,Mataveri  Isla de Pascua Ap.;1;13;19.8;27.7,
137,Mataveri  Isla de Pascua Ap.;1;14;20.0;27.5,
138,Mataveri  Isla de Pascua Ap.;1;15;20.3;26.7,
139,Mataveri  Isla de Pascua Ap.;1;16;17.5;26.9,
140,Mataveri  Isla de Pascua Ap.;1;17;21.4;26.4,
141,Mataveri  Isla de Pascua Ap.;1;18;20.9;26.2,
142,Mataveri  Isla de Pascua Ap.;1;19;18.4;25.6,
143,Mataveri  Isla de Pascua Ap.;1;20;19.2;26.5,
144,Mataveri  Isla de Pascua Ap.;1;21;18.2;26.4,
145,Mataveri  Isla de Pascua Ap.;1;22;18.7;27.3,
146,Mataveri  Isla de Pascua Ap.;1;23;21.1;26.1,
147,Mataveri  Isla de Pascua Ap.;1;24;18.6;25.9,
148,Mataveri  Isla de Pascua Ap.;1;25;18.8;26.6,
149,Mataveri  Isla de Pascua Ap.;1;26;17.6;27.1,
150,Mataveri  Isla de Pascua Ap.;1;27;20.7;23.7,
151,Mataveri  Isla de Pascua Ap.;1;28;19.7;25.0,
152,Mataveri  Isla de Pascua Ap.;1;29;19.8;23.8,
153,Mataveri  Isla de Pascua Ap.;1;30;19.1;24.7,
154,Mataveri  Isla de Pascua Ap.;1;31;20.0;26.9,
155,Desierto de Atacama,Caldera  Ad.;1;1;16.7;24.0
156,Desierto de Atacama,Caldera  Ad.;1;2;16.7;23.9
157,Desierto de Atacama,Caldera  Ad.;1;3;13.8;24.7
158,Desierto de Atacama,Caldera  Ad.;1;4;15.9;24.4
159,Desierto de Atacama,Caldera  Ad.;1;5;17.0;25.1
160,Desierto de Atacama,Caldera  Ad.;1;6;16.0;24.5
161,Desierto de Atacama,Caldera  Ad.;1;7;17.1;23.5
162,Desierto de Atacama,Caldera  Ad.;1;8;18.0;26.0
163,Desierto de Atacama,Caldera  Ad.;1;9;16.7;24.7
164,Desierto de Atacama,Caldera  Ad.;1;10;17.0;23.5
165,Desierto de Atacama,Caldera  Ad.;1;11;16.9;22.5
166,Desierto de Atacama,Caldera  Ad.;1;12;16.2;21.7
167,Desierto de Atacama,Caldera  Ad.;1;13;16.7;24.9
168,Desierto de Atacama,Caldera  Ad.;1;14;16.6;23.7
169,Desierto de Atacama,Caldera  Ad.;1;15;16.9;26.3
170,Desierto de Atacama,Caldera  Ad.;1;16;17.8;27.7
171,Desierto de Atacama,Caldera  Ad.;1;17;19.8;28.6
172,Desierto de Atacama,Caldera  Ad.;1;18;17.9;27.8
173,Desierto de Atacama,Caldera  Ad.;1;19;17.1;25.3
174,Desierto de Atacama,Caldera  Ad.;1;20;17.6;23.8
175,Desierto de Atacama,Caldera  Ad.;1;21;17.2;24.6
176,Desierto de Atacama,Caldera  Ad.;1;22;18.0;24.5
177,Desierto de Atacama,Caldera  Ad.;1;23;16.2;24.0
178,Desierto de Atacama,Caldera  Ad.;1;24;15.5;25.2
179,Desierto de Atacama,Caldera  Ad.;1;25;16.4;22.2
180,Desierto de Atacama,Caldera  Ad.;1;26;15.9;23.2
181,Desierto de Atacama,Caldera  Ad.;1;27;14.4;24.0
182,Desierto de Atacama,Caldera  Ad.;1;28;14.3;24.0
183,Desierto de Atacama,Caldera  Ad.;1;29;13.6;24.3
184,Desierto de Atacama,Caldera  Ad.;1;30;17.8;24.5
185,Desierto de Atacama,Caldera  Ad.;1;31;18.3;25.7
186,La Florida,La Serena Ad.;1;1;14.8;21.9
187,La Florida,La Serena Ad.;1;2;13.8;22.5
188,La Florida,La Serena Ad.;1;3;13.6;22.1
189,La Florida,La Serena Ad.;1;4;14.5;20.7
